variety,variety_trim,alternate,breeder,color,crop,type,number,release_year,technology,
DKC78-79 BR,DKC78-79BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20123123,20120807,BR,BR
DKC78-83 R,DKC78-83R,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20102856,20100521,R,R
DKC78-87 B,DKC78-87B,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20123124,20120807,B,B
DKC80-10,DKC80-10,,Bayer (Pty) Ltd,Yellow,Zea mays,HB,A 20021703,20020707,0,0
DKC80-12 B,DKC80-12B,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20041968,20040226,B,B
DKC80-30 R,DKC80-30R,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20042053,20040820,R,R
DKC80-33,DKC80-33,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20072502,20070801,0,0
DKC80-40 BR,DKC80-40BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20072417,20070205,BR,BR
DKC80-53,DKC80-53,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20133349,20130930,0,0
DKC90-53,DKC90-53,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20133351,20130930,0,0
DKC90-89,DKC90-89,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20133350,20130930,0,0
EGEAN,EGEAN,,Quality Seed,Yellow,Zea mays,HB,A 20194309,20191007,0,0
ES Valerio,ESValerio,,Bayer (Pty) Ltd,Yellow,Zea mays,HB,A 20112969,20110805,0,0
GW3436,GW3436,,Quality Seed,Yellow,Zea mays,HB,A 20194310,20191007,0,0
GW4627,GW4627,,Quality Seed,Yellow,Zea mays,HB,A 20194311,20191007,0,0
HX11,HX11,,Hylix Genetics,White,Zea mays,HB,A 20174047,20171016,0,0
HX22,HX22,,Hylix Genetics,Yellow,Zea mays,HB,A 20174033,20171010,0,0
IMP50-10B,IMP50-10B,,Corteva Agriscience RSA,yellow,Zea mays,GM,,,B,B
IMP 50-10 BR,IMP50-10BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20143484,20140822,BR,BR
IMP 50-10 R,IMP50-10R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20112961,20110805,R,R
IMP 50-90 BR,IMP50-90BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20082645,20080731,BR,BR
IMP 51-22 B,IMP51-22B,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20112962,20110805,B,B
IMP 51-22 BR,IMP51-22BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20174009,20170828,BR,BR
IMP 51-92 R,IMP51-92R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20112963,20110805,R,R
IMP 52-11,IMP52-11,,Corteva Agriscience RSA,White,Zea mays,HB,A 20072474,20070801,0,0
IMP 52-11 B,IMP52-11B,PHB 3X23B142WY B,Corteva Agriscience RSA,White,Zea mays,GM,A 20133286,20130808,B,B
IMP 52-11 R,IMP52-11R,,Corteva Agriscience RSA,White,Zea mays,GM,A 20143465,20140822,R,R
IMP 52-12,IMP52-12,PHB 3X18A306,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20112978,20110805,0,0
IMP 52-12 BR,IMP52-12BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20174010,20170828,BR,BR
IMP 52-12 R,IMP52-12R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20163794,20160726,R,R
IMP53-01,IMP53-01,,Corteva Agriscience RSA,White,Zea mays,HB,,,0,0
IMP53-03,IMP53-03,,Corteva Agriscience RSA,White,Zea mays,HB,,,0,0
IMP53-04,IMP53-04,,Corteva Agriscience RSA,Yellow,Zea mays,HB,,,0,0
IMP 53-13,IMP53-13,,Corteva Agriscience RSA,White,Zea mays,HB,A 20123096,20120724,0,0
IMP53-49B,IMP53-49B,,Corteva Agriscience RSA,White,Zea mays,GM,,,B,B
IMP 53-49 BR,IMP53-49BR,,Corteva Agriscience RSA,White,Zea mays,GM,A 20173980,20170824,BR,BR
IMP 53-49 R,IMP53-49R,,Corteva Agriscience RSA,White,Zea mays,GM,A 20174002,20170824,R,R
IMP53-77BR,IMP53-77BR,,Corteva Agriscience RSA,White,Zea mays,GM,,,BR,BR
JEMAT 301,JEMAT301,,Jermart Seeds,White,Zea mays,HB,A 20163871,20160913,0,0
JEMAT 401,JEMAT401,,Jermart Seeds,White,Zea mays,HB,A 20163872,20160913,0,0
JEMAT 501,JEMAT501,,Jermart Seeds,White,Zea mays,HB,A 20153673,20151016,0,0
JEMAT 601Q,JEMAT601Q,,Jermart Seeds,White,Zea mays,HB QP,A 20153674,20151016,0,0
Kalahari Early Pearl SELECT,KalahariEarlyPearlSELECT,,Capstone Seeds,White,Zea mays,OP,A 20062366,20060801,0,0
Kep,Kep,,Wickens Investments,White,Zea mays,OP,A 20062342,20060801,0,0
Kgalagadi,Kgalagadi,,Dr AP Fourie,White,Zea mays,HB,A 20072512,20070801,0,0
KKS 4270 B,KKS4270B,AFG 4270 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20102767,20100806,B,B
KKS 4383,KKS4383,AFG 4383,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20102790,20100908,0,0
KKS 4410,KKS4410,AFG 4410,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20042059,20040820,0,0
KKS 4412 B,KKS4412B,AFG 4412 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20062389,20060801,B,B
KKS 4414,KKS4414,AFG 4414,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20072485,20070801,0,0
KKS 4434 R,KKS4434R,AFG 4434 R,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20072487,20070801,R,R
KKS4452B,KKS4452B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,,,B,B
